id,type,text1,text2,text3,text4,notes
dimensional_rift_interaction,CUSTOM,A tear in spacetime. ,,,,
rift_supermassive_blackhole1,PLANET,"A supermassive blackhole, larger than any blackhole ever observed within the sector. Despite its size, it gravitational forces seem to not exceed that of a blackhole within our sector.

It's accretion disc shines in a beautiful orange color. 

",,,,
rift_supermassive_blackhole2,PLANET,"A supermassive blackhole, larger than any blackhole ever observed within the sector. Despite its size, it gravitational forces seem to not exceed that of a blackhole within our sector.

It's accretion disc shines in a beautiful cyan color. 

",,,,
rift_supermassive_blackhole3,PLANET,"A supermassive blackhole, larger than any blackhole ever observed within the sector. Despite its size, it gravitational forces seem to not exceed that of a blackhole within our sector.

It's accretion disc shines in a beautiful red color. 

",,,,
strange_matter,RESOURCE,"A strange substance found within Dimensional Rifts. It's properties seem similar to that of Antimatter. It may be used to fuel otherworldy devices.
",,,,
arkship,CUSTOM,"A large, alien construct, that is under your control, capable of generating wormholes.",,,,
arkship_inactive,CUSTOM,An unknown construction orbiting around a lone planet.,,,,
arkship_after_warp,CUSTOM,"An unknown construction, orbiting arround a newly formed wormhole.",,,,
origin_star,PLANET,???,,,,
origin_star_no_icon,PLANET,???,,,,
language_sample,RESOURCE,A datacard holding samples of an Alien Language,,,,
exotic_construction,RESOURCE,A collection of exotic materials collected from Constructions and Ships within rifts.,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
rifts_dune,SHIP,"The Dune-Class is a light frigate designed by the Chirality. It Exceeds in terms of speed, making it a good fill in for any fleet that requires ships that distract from the heavier targets.
Those Aspects are only amplified through its ""Temporal Shell"" Shipsystem, allowing it to quickly send out light-fire and retreat.",,,,
rifts_opera,SHIP,"The Opera-Class is a heavy frigate designed by the Chirality. The Opera-Class manages to unload as many missiles as a destroyer, without loosing the speed of a Frigate. While not as fast as the Dune-Class, its unlikely that its targets can escape from it.",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
rifts_superconductor,SHIP_SYSTEM,"Overcharges the projectiles launched by the Phenix built-in Magnetic Inductor, causing them to occasionaly release EMP-Arcs towards nearby enemies.",,,,
